,,,,,,,,,,,,,
,2026년 4월 일정표 NBT,,,,,,,,,,,,
,,,,,,,,,,,,,
,일,,월,,화,,수,,목,,금,,토
,2026-03-29 00:00:00,,2026-03-30 00:00:00,,2026-03-31 00:00:00,,2026-04-01 00:00:00,,2026-04-02 00:00:00,,2026-04-03 00:00:00,,2026-04-04 00:00:00
,,,,,,,08:30:00,월례조회(이천),,,,,
,,,,,,,10:00:00,영업회의(이천),,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026-04-05 00:00:00,,2026-04-06 00:00:00,,2026-04-07 00:00:00,,2026-04-08 00:00:00,,2026-04-09 00:00:00,,2026-04-10 00:00:00,,2026-04-11 00:00:00
,,,08:30:00,국내 영업회의,,,,,,,08:00:00,확대경영회의(GB2 6층),
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026-04-12 00:00:00,,2026-04-13 00:00:00,,2026-04-14 00:00:00,,2026-04-15 00:00:00,,2026-04-16 00:00:00,,2026-04-17 00:00:00,,2026-04-18 00:00:00
,,,,,,,14:00:00,생산협의회(이천),,,09:00:00,건기식 통합회의(F동 9층),
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026-04-19 00:00:00,,2026-04-20 00:00:00,,2026-04-21 00:00:00,,2026-04-22 00:00:00,,2026-04-23 00:00:00,,2026-04-24 00:00:00,,2026-04-25 00:00:00
,,,08:30:00,국내 영업회의,09:00:00,관계사경영회의(F동 9층),,,13:00:00,제안심사(GB2 6층),,,
,,,,,,,,,14:00:00,임원회의(GB2 6층),,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026-04-26 00:00:00,,2026-04-27 00:00:00,,2026-04-28 00:00:00,,2026-04-29 00:00:00,,2026-04-30 00:00:00,,2026-05-01 00:00:00,,2026-05-02 00:00:00
,,,08:30:00,국내 신제품 설명회(GB2 6층),,,14:00:00,생산협의회(이천),,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026-05-03 00:00:00,,2026-05-04 00:00:00,,2026-05-05 00:00:00,,2026-05-06 00:00:00,,2026-05-07 00:00:00,,2026-05-08 00:00:00,,2026-05-09 00:00:00
